Product SKU,Database Price,Shopify Price,Price Changed,Difference
0027893,N/A,1.51,ONLY_IN_SHOPIFY,N/A
0027895,N/A,1.19,ONLY_IN_SHOPIFY,N/A
0027897,N/A,1.57,ONLY_IN_SHOPIFY,N/A
0027902,N/A,2.13,ONLY_IN_SHOPIFY,N/A
0027903,N/A,2.97,ONLY_IN_SHOPIFY,N/A
0027923,N/A,171.22,ONLY_IN_SHOPIFY,N/A
0027970,N/A,1.1,ONLY_IN_SHOPIFY,N/A
0028032,N/A,26.4,ONLY_IN_SHOPIFY,N/A
0028035,N/A,10.33,ONLY_IN_SHOPIFY,N/A
0028063,N/A,37.64,ONLY_IN_SHOPIFY,N/A
0028088,N/A,1.55,ONLY_IN_SHOPIFY,N/A
0028147,N/A,10.85,ONLY_IN_SHOPIFY,N/A
0028148,N/A,16.69,ONLY_IN_SHOPIFY,N/A
0028212,N/A,33.53,ONLY_IN_SHOPIFY,N/A
0028221,N/A,159.18,ONLY_IN_SHOPIFY,N/A
0028309,N/A,1099.14,ONLY_IN_SHOPIFY,N/A
0028314,N/A,1399.69,ONLY_IN_SHOPIFY,N/A
0028369,N/A,110.44,ONLY_IN_SHOPIFY,N/A
0028454,N/A,8.58,ONLY_IN_SHOPIFY,N/A
0028458,N/A,32.32,ONLY_IN_SHOPIFY,N/A
0028590,N/A,150,ONLY_IN_SHOPIFY,N/A
0028785,N/A,172,ONLY_IN_SHOPIFY,N/A
0028790,N/A,2111,ONLY_IN_SHOPIFY,N/A
0028804,N/A,14.76,ONLY_IN_SHOPIFY,N/A
0028814,N/A,4.59,ONLY_IN_SHOPIFY,N/A
0028963,N/A,4.02,ONLY_IN_SHOPIFY,N/A
0028966,N/A,4.4,ONLY_IN_SHOPIFY,N/A
0029045,N/A,54.89,ONLY_IN_SHOPIFY,N/A
0029112,N/A,3.78,ONLY_IN_SHOPIFY,N/A
0029232,N/A,9.49,ONLY_IN_SHOPIFY,N/A
0029343,N/A,36.08,ONLY_IN_SHOPIFY,N/A
0029375,N/A,44.56,ONLY_IN_SHOPIFY,N/A
0029458,N/A,107.01,ONLY_IN_SHOPIFY,N/A
0029478,N/A,0,ONLY_IN_SHOPIFY,N/A
0029482,N/A,8.99,ONLY_IN_SHOPIFY,N/A
0029584,N/A,64.88,ONLY_IN_SHOPIFY,N/A
0029602,N/A,13.99,ONLY_IN_SHOPIFY,N/A
0029681,N/A,4.9,ONLY_IN_SHOPIFY,N/A
0029755,N/A,52.48,ONLY_IN_SHOPIFY,N/A
0029768,N/A,47,ONLY_IN_SHOPIFY,N/A
0029783,N/A,33.59,ONLY_IN_SHOPIFY,N/A
0029786,N/A,108.57,ONLY_IN_SHOPIFY,N/A
0029794,N/A,74.62,ONLY_IN_SHOPIFY,N/A
0029809,N/A,6.35,ONLY_IN_SHOPIFY,N/A
0029810,N/A,225.73,ONLY_IN_SHOPIFY,N/A
0029813,N/A,25.75,ONLY_IN_SHOPIFY,N/A
0029814,N/A,67.53,ONLY_IN_SHOPIFY,N/A
